Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Actors
Breaking Bad,2008,18+,9.5,96%,True,False,False,False,True,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'RJ Mitte', 'Dean Norris', 'Betsy Brandt', 'Bob Odenkirk', 'Jonathan Banks', 'Giancarlo Esposito', 'Jesse Plemons', 'Laura Fraser']"
Stranger Things,2016,16+,8.8,93%,True,False,False,False,True,"['Finn Wolfhard', 'David Harbour', 'Winona Ryder', 'Caleb McLaughlin', 'Charlie Heaton', 'Gaten Matarazzo', 'Natalia Dyer', 'Millie Bobby Brown', 'Joe Keery', 'Noah Schnapp', 'Cara Buono', 'Sadie Sink', 'Dacre Montgomery', 'Priah Ferguson', 'Matthew Modine', 'Paul Reiser', 'Maya Thurman-Hawke', 'Sean Astin']"
Money Heist,2017,18+,8.4,91%,True,False,False,False,True,[]
Sherlock,2010,16+,9.1,78%,True,False,False,False,True,"['Benedict Cumberbatch', 'Martin Freeman']"
Better Call Saul,2015,18+,8.7,97%,True,False,False,False,True,"['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn', 'Patrick Fabian', 'Michael Mando', 'Michael McKean', 'Giancarlo Esposito', 'Tony Dalton']"
The Office,2005,16+,8.9,81%,True,False,False,False,True,"['Rainn Wilson', 'John Krasinski', 'Leslie David Baker', 'Phyllis Smith', 'Jenna Fischer', 'Brian Baumgartner', 'Angela Kinsey', 'Oscar Nuñez', 'Kate Flannery', 'Creed Bratton', 'Ed Helms', 'Mindy Kaling', 'B.J. Novak', 'Steve Carell', 'Paul Lieberstein', 'Craig Robinson', 'Ellie Kemper', 'Zach Woods', 'Melora Hardin', 'Catherine Tate', 'David Denman', 'Clark Duke', 'Jake Lacy', 'James Spader', 'Amy Ryan']"
Black Mirror,2011,18+,8.8,83%,True,False,False,False,True,[]
Supernatural,2005,16+,8.4,93%,True,False,False,False,True,"['Jared Padalecki', 'Jensen Ackles', 'Misha Collins', 'Mark Sheppard', 'Alexander Calvert', 'Mark Pellegrino', 'Katie Cassidy', 'Lauren Cohan', 'Mark Pellegrino', 'Alexander Calvert']"
Peaky Blinders,2013,18+,8.8,92%,True,False,False,False,True,"['Cillian Murphy', 'Sophie Rundle', 'Helen McCrory', 'Paul Anderson', 'Ned Dennehy', 'Finn Cole', 'Ian Peck', ""Natasha O'Keeffe"", 'Joe Cole', 'Packy Lee', 'Annabelle Wallis', 'Aimee-Ffion Edwards', 'Kate Phillips', 'Sam Neill', 'Tom Hardy', 'Benjamin Zephaniah', 'Aidan Gillen', 'Charlie Murphy', 'Neil Maskell', 'Noah Taylor', 'Charlotte Riley', 'Gaite Jansen', 'Alexander Siddig', 'Adrien Brody', 'Anya Taylor-Joy', 'Sam Claflin', 'Jack Rowan', 'Kingsley Ben-Adir', 'Brian Gleeson', 'Jan Bijvoet', 'Dina Korzun', 'Paddy Considine', 'Andrew Koji', 'Cosmo Jarvis', 'Kate Dickie']"
Avatar: The Last Airbender,2005,7+,9.2,100%,True,False,False,False,True,"['Zach Tyler', 'Mae Whitman', 'Jack De Sena', 'Dante Basco', 'Dee Bradley Baker', 'Dee Bradley Baker', 'Greg Baldwin', 'Mako', 'Jessie Flower', 'Grey Griffin', 'Cricket Leigh', 'Olivia Hack']"
The Walking Dead,2010,18+,8.2,81%,True,False,False,False,True,"['Norman Reedus', 'Melissa McBride', 'Andrew Lincoln', 'Danai Gurira', 'Lauren Cohan', 'Chandler Riggs', 'Christian Serratos', 'Josh McDermitt', 'Steven Yeun', 'Alanna Masterson', 'Seth Gilliam', 'Ross Marquand', 'Sonequa Martin-Green', 'Jeffrey Dean Morgan', 'Cooper Andrews', 'Katelyn Nacon', 'Emily Kinney', 'Lennie James', 'Khary Payton', 'Scott Wilson', 'Laurie Holden', 'Michael Cudlitz', 'Avi Nash', 'Sarah Wayne Callies', 'Tom Payne', 'Callan McAuliffe', 'Cailey Fleming', 'Jon Bernthal', 'Austin Amelio', 'Eleanor Matsuura', 'IronE Singleton', 'Chad L. Coleman', 'David Morrissey', 'Nadia Hilker', 'Samantha Morton', 'Cassady McClincy', 'Jeffrey DeMunn', 'Lauren Ridloff', 'Pollyanna McIntosh', 'Michael Rooker', 'Lawrence Gilliard Jr.', 'Austin Nichols', 'Xander Berkeley', 'Steven Ogg', 'Ryan Hurst', 'Alexandra Breckenridge', 'Tovah Feldshuh', 'Madison Lintz', 'Andrew J. West', 'Michael James Shaw']"
