Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Decade
Breaking Bad,2008,18+,9.5,96%,True,False,False,False,True,2000
Stranger Things,2016,16+,8.8,93%,True,False,False,False,True,2010
Money Heist,2017,18+,8.4,91%,True,False,False,False,True,2010
Sherlock,2010,16+,9.1,78%,True,False,False,False,True,2010
Better Call Saul,2015,18+,8.7,97%,True,False,False,False,True,2010
The Office,2005,16+,8.9,81%,True,False,False,False,True,2000
Black Mirror,2011,18+,8.8,83%,True,False,False,False,True,2010
Supernatural,2005,16+,8.4,93%,True,False,False,False,True,2000
Peaky Blinders,2013,18+,8.8,92%,True,False,False,False,True,2010
Avatar: The Last Airbender,2005,7+,9.2,100%,True,False,False,False,True,2000
The Walking Dead,2010,18+,8.2,81%,True,False,False,False,True,2010
Dark,2017,16+,8.7,94%,True,False,False,False,True,2010
Ozark,2017,18+,8.4,81%,True,False,False,False,True,2010
Attack on Titan,2013,16+,8.8,94%,True,True,False,False,True,2010
Narcos,2015,18+,8.8,89%,True,False,False,False,True,2010
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,True,True,False,False,True,2000
Community,2009,7+,8.5,88%,True,True,False,False,True,2000
Mindhunter,2017,18+,8.6,96%,True,False,False,False,True,2010
Parks and Recreation,2009,16+,8.6,93%,True,True,True,False,True,2000
Dexter,2006,18+,8.6,72%,True,False,False,False,True,2000
Marvel's Daredevil,2015,18+,8.6,92%,True,False,False,False,True,2010
The Witcher,2019,18+,8.3,67%,True,False,False,False,True,2010
Twin Peaks,1990,18+,8.8,89%,True,True,False,False,True,1990
One-Punch Man,2015,16+,8.8,100%,True,True,False,False,True,2010
Outlander,2014,18+,8.4,91%,True,False,False,False,True,2010
House of Cards,2013,18+,8.7,78%,True,False,False,False,True,2010
Shameless,2011,18+,8.6,85%,True,False,False,False,True,2010
The Good Place,2016,16+,8.2,97%,True,True,False,False,True,2010
The Haunting,2018,18+,8.7,93%,True,False,False,False,True,2010
The Blacklist,2013,16+,8.0,91%,True,False,False,False,True,2010
The Flash,2014,7+,7.7,89%,True,False,False,False,True,2010
The Last Kingdom,2015,18+,8.4,91%,True,False,False,False,True,2010
Mad Men,2007,16+,8.6,94%,True,False,False,False,True,2000
Lucifer,2016,16+,8.2,87%,True,False,False,False,True,2010
Orange Is the New Black,2013,18+,8.1,90%,True,False,False,False,True,2010
Grey's Anatomy,2005,16+,7.6,83%,True,True,False,False,True,2000
The End of the F***ing World,2017,18+,8.1,93%,True,False,False,False,True,2010
Arrested Development,2003,16+,8.7,75%,True,True,False,False,True,2000
The Vampire Diaries,2009,7+,7.7,85%,True,False,False,False,True,2000
The Crown,2016,18+,8.7,89%,True,False,False,False,True,2010
The 100,2014,16+,7.7,92%,True,False,False,False,True,2010
When They See Us,2019,18+,8.9,96%,True,False,False,False,True,2010
How to Get Away with Murder,2014,16+,8.1,88%,True,True,False,False,True,2010
After Life,2019,18+,8.5,70%,True,False,False,False,True,2010
Elite,2018,18+,7.6,97%,True,False,False,False,True,2010
BoJack Horseman,2014,18+,8.7,93%,True,False,False,False,True,2010
Never Have I Ever,2020,16+,8.0,97%,True,False,False,False,True,2020
Penny Dreadful,2014,18+,8.2,91%,True,False,False,False,True,2010
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%,True,False,False,False,True,2010
Dead to Me,2019,18+,8.1,91%,True,False,False,False,True,2010
Unorthodox,2020,18+,8.1,94%,True,False,False,False,True,2020
Sense8,2015,18+,8.3,86%,True,False,False,False,True,2010
Sacred Games,2018,18+,8.7,92%,True,False,False,False,True,2010
American Crime Story,2016,18+,8.4,93%,True,False,False,False,True,2010
Family Guy,1999,18+,8.1,71%,True,True,False,False,True,1990
Pretty Little Liars,2010,16+,7.4,81%,True,True,False,False,True,2010
Unbelievable,2019,18+,8.4,97%,True,False,False,False,True,2010
Arrow,2012,16+,7.6,85%,True,False,False,False,True,2010
The IT Crowd,2006,16+,8.5,87%,True,False,False,False,True,2000
The Twilight Zone,1959,7+,9.0,82%,True,True,False,False,True,1950
YOU,2018,18+,7.8,91%,True,False,False,False,True,2010
Sex Education,2019,16+,8.3,94%,True,False,False,False,True,2010
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%,True,False,False,False,True,2020
Star Trek: The Next Generation,1987,7+,8.6,89%,True,True,True,False,True,1980
Broadchurch,2013,18+,8.4,92%,True,False,False,False,True,2010
Kingdom,2019,18+,8.4,96%,True,False,False,False,True,2010
Altered Carbon,2018,18+,8.1,64%,True,False,False,False,True,2010
The Sinner,2017,16+,8.0,95%,True,False,False,False,True,2010
"Love, Death & Robots",2019,18+,8.5,78%,True,False,False,False,True,2010
Marvel's Jessica Jones,2015,18+,8.0,83%,True,False,False,False,True,2010
New Girl,2011,16+,7.7,94%,True,False,False,False,True,2010
The Good Wife,2009,16+,8.3,94%,True,True,True,False,True,2000
The Umbrella Academy,2019,16+,7.9,77%,True,False,False,False,True,2010
Marvel's The Punisher,2017,18+,8.5,63%,True,False,False,False,True,2010
Ash vs Evil Dead,2015,18+,8.4,99%,True,False,False,False,True,2010
Master of None,2015,18+,8.3,100%,True,False,False,False,True,2010
Bodyguard,2018,18+,8.1,93%,True,False,False,False,True,2010
Schitt's Creek,2015,16+,8.4,50%,True,False,True,False,True,2010
Narcos: Mexico,2018,18+,8.4,88%,True,False,False,False,True,2010
The West Wing,1999,16+,8.8,75%,True,False,False,False,True,1990
Bates Motel,2013,18+,8.2,93%,True,False,False,False,True,2010
Atypical,2017,18+,8.3,87%,True,False,False,False,True,2010
Once Upon a Time,2011,7+,7.7,80%,True,False,False,False,True,2010
Gomorrah,2014,18+,8.7,94%,True,False,False,False,True,2010
Making a Murderer,2015,16+,8.6,84%,True,False,False,False,True,2010
Death Note,2006,18+,9.0,,True,True,False,False,True,2000
Castlevania,2017,18+,8.2,93%,True,False,False,False,True,2010
Riverdale,2017,16+,7.0,86%,True,False,False,False,True,2010
Burn Notice,2007,7+,7.9,88%,True,True,True,False,True,2000
Fauda,2015,16+,8.3,100%,True,False,False,False,True,2010
Russian Doll,2019,18+,7.9,96%,True,False,False,False,True,2010
Our Planet,2019,7+,9.3,93%,True,False,False,False,True,2010
Big Mouth,2017,18+,8.0,100%,True,False,False,False,True,2010
American Horror Story,2011,18+,8.0,,True,True,True,False,True,2010
Gotham,2014,16+,7.8,77%,True,False,False,False,True,2010
I Am Not Okay with This,2020,18+,7.6,85%,True,False,False,False,True,2020
Criminal Minds,2005,16+,8.1,,True,False,False,False,True,2000
The Vietnam War,2017,18+,9.1,98%,True,False,False,False,True,2010
Waco,2018,18+,7.9,68%,True,False,False,False,True,2010
Star Trek,1966,7+,8.3,80%,True,True,True,False,True,1960
The OA,2016,16+,7.9,84%,True,False,False,False,True,2010
Outer Banks,2020,18+,7.6,72%,True,False,False,False,True,2020
The Midnight Gospel,2020,18+,8.4,90%,True,False,False,False,True,2020
Good Girls,2018,16+,7.9,87%,True,True,False,False,True,2010
Chilling Adventures of Sabrina,2018,16+,7.6,84%,True,False,False,False,True,2010
Doctor Foster,2015,16+,7.7,85%,True,False,False,False,True,2010
Gilmore Girls,2000,16+,8.1,85%,True,False,False,False,True,2000
iZombie,2015,16+,7.9,91%,True,False,False,False,True,2010
Anne with an E,2017,7+,8.6,62%,True,False,False,False,True,2010
A Series of Unfortunate Events,2017,7+,7.8,96%,True,False,False,False,True,2010
Neon Genesis Evangelion,1995,16+,8.5,100%,True,False,False,False,True,1990
Into the Badlands,2015,16+,8.0,83%,True,False,False,False,True,2010
Monty Python's Flying Circus,1969,16+,8.8,100%,True,False,False,False,True,1960
