Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Genres
Breaking Bad,2008,18+,9.5,96%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
Stranger Things,2016,16+,8.8,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Fantasy', 'Science-Fiction']"
Money Heist,2017,18+,8.4,91%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Sherlock,2010,16+,9.1,78%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Mystery']"
Better Call Saul,2015,18+,8.7,97%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Legal']"
The Office,2005,16+,8.9,81%,TRUE,FALSE,FALSE,FALSE,TRUE,['Comedy']
Black Mirror,2011,18+,8.8,83%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Science-Fiction', 'Thriller']"
Supernatural,2005,16+,8.4,93%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Supernatural']"
Peaky Blinders,2013,18+,8.8,92%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'History']"
Avatar: The Last Airbender,2005,7+,9.2,100%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Fantasy']"
The Walking Dead,2010,18+,8.2,81%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Horror']"
Dark,2017,16+,8.7,94%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Science-Fiction', 'Supernatural']"
Ozark,2017,18+,8.4,81%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Thriller']"
Attack on Titan,2013,16+,8.8,94%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Anime', 'Fantasy']"
Narcos,2015,18+,8.8,89%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Action', 'Adventure', 'Anime', 'Fantasy']"
Community,2009,7+,8.5,88%,TRUE,TRUE,FALSE,FALSE,TRUE,['Comedy']
Mindhunter,2017,18+,8.6,96%,TRUE,FALSE,FALSE,FALSE,TRUE,[]
Parks and Recreation,2009,16+,8.6,93%,TRUE,TRUE,TRUE,FALSE,TRUE,['Comedy']
Dexter,2006,18+,8.6,72%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Mystery']"
Marvel's Daredevil,2015,18+,8.6,92%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Crime']"
The Witcher,2019,18+,8.3,67%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Action', 'Fantasy']"
Twin Peaks,1990,18+,8.8,89%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Drama', 'Crime', 'Supernatural']"
One-Punch Man,2015,16+,8.8,100%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Comedy', 'Action', 'Anime']"
Outlander,2014,18+,8.4,91%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Adventure', 'Romance', 'Science-Fiction']"
House of Cards,2013,18+,8.7,78%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Thriller']"
Shameless,2011,18+,8.6,85%,TRUE,FALSE,FALSE,FALSE,TRUE,"['Drama', 'Comedy', 'Family']"
The Good Place,2016,16+,8.2,97%,TRUE,TRUE,FALSE,FALSE,TRUE,"['Comedy', 'Fantasy', 'Supernatural']"
