Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Language
Breaking Bad,2008,18+,9.5,96%,True,False,False,False,True,English
Stranger Things,2016,16+,8.8,93%,True,False,False,False,True,English
Money Heist,2017,18+,8.4,91%,True,False,False,False,True,[]
Sherlock,2010,16+,9.1,78%,True,False,False,False,True,English
Better Call Saul,2015,18+,8.7,97%,True,False,False,False,True,English
The Office,2005,16+,8.9,81%,True,False,False,False,True,English
Black Mirror,2011,18+,8.8,83%,True,False,False,False,True,English
Supernatural,2005,16+,8.4,93%,True,False,False,False,True,English
Peaky Blinders,2013,18+,8.8,92%,True,False,False,False,True,English
Avatar: The Last Airbender,2005,7+,9.2,100%,True,False,False,False,True,English
The Walking Dead,2010,18+,8.2,81%,True,False,False,False,True,English
Dark,2017,16+,8.7,94%,True,False,False,False,True,German
Ozark,2017,18+,8.4,81%,True,False,False,False,True,English
Attack on Titan,2013,16+,8.8,94%,True,True,False,False,True,Japanese
Narcos,2015,18+,8.8,89%,True,False,False,False,True,English
Fullmetal Alchemist: Brotherhood,2009,18+,9.1,100%,True,True,False,False,True,Japanese
Community,2009,7+,8.5,88%,True,True,False,False,True,English
Mindhunter,2017,18+,8.6,96%,True,False,False,False,True,[]
Parks and Recreation,2009,16+,8.6,93%,True,True,True,False,True,English
Dexter,2006,18+,8.6,72%,True,False,False,False,True,English
Marvel's Daredevil,2015,18+,8.6,92%,True,False,False,False,True,English
The Witcher,2019,18+,8.3,67%,True,False,False,False,True,English
Twin Peaks,1990,18+,8.8,89%,True,True,False,False,True,English
One-Punch Man,2015,16+,8.8,100%,True,True,False,False,True,Japanese
Outlander,2014,18+,8.4,91%,True,False,False,False,True,English
House of Cards,2013,18+,8.7,78%,True,False,False,False,True,English
Shameless,2011,18+,8.6,85%,True,False,False,False,True,English
The Good Place,2016,16+,8.2,97%,True,True,False,False,True,English
The Haunting,2018,18+,8.7,93%,True,False,False,False,True,[]
The Blacklist,2013,16+,8.0,91%,True,False,False,False,True,English
The Flash,2014,7+,7.7,89%,True,False,False,False,True,English
The Last Kingdom,2015,18+,8.4,91%,True,False,False,False,True,English
Mad Men,2007,16+,8.6,94%,True,False,False,False,True,English
Lucifer,2016,16+,8.2,87%,True,False,False,False,True,English
Orange Is the New Black,2013,18+,8.1,90%,True,False,False,False,True,English
Grey's Anatomy,2005,16+,7.6,83%,True,True,False,False,True,English
The End of the F***ing World,2017,18+,8.1,93%,True,False,False,False,True,English
Arrested Development,2003,16+,8.7,75%,True,True,False,False,True,English
The Vampire Diaries,2009,7+,7.7,85%,True,False,False,False,True,English
The Crown,2016,18+,8.7,89%,True,False,False,False,True,English
The 100,2014,16+,7.7,92%,True,False,False,False,True,English
When They See Us,2019,18+,8.9,96%,True,False,False,False,True,English
How to Get Away with Murder,2014,16+,8.1,88%,True,True,False,False,True,English
After Life,2019,18+,8.5,70%,True,False,False,False,True,English
Elite,2018,18+,7.6,97%,True,False,False,False,True,[]
BoJack Horseman,2014,18+,8.7,93%,True,False,False,False,True,English
Never Have I Ever,2020,16+,8.0,97%,True,False,False,False,True,English
Penny Dreadful,2014,18+,8.2,91%,True,False,False,False,True,English
Marvel's Agents of S.H.I.E.L.D.,2013,16+,7.5,94%,True,False,False,False,True,English
Dead to Me,2019,18+,8.1,91%,True,False,False,False,True,English
Unorthodox,2020,18+,8.1,94%,True,False,False,False,True,English
Sense8,2015,18+,8.3,86%,True,False,False,False,True,English
Sacred Games,2018,18+,8.7,92%,True,False,False,False,True,Hindi
American Crime Story,2016,18+,8.4,93%,True,False,False,False,True,English
Family Guy,1999,18+,8.1,71%,True,True,False,False,True,English
Pretty Little Liars,2010,16+,7.4,81%,True,True,False,False,True,English
Unbelievable,2019,18+,8.4,97%,True,False,False,False,True,English
Arrow,2012,16+,7.6,85%,True,False,False,False,True,English
The IT Crowd,2006,16+,8.5,87%,True,False,False,False,True,English
The Twilight Zone,1959,7+,9.0,82%,True,True,False,False,True,English
YOU,2018,18+,7.8,91%,True,False,False,False,True,English
Sex Education,2019,16+,8.3,94%,True,False,False,False,True,English
"Tiger King: Murder, Mayhem and Madness",2020,18+,7.8,86%,True,False,False,False,True,English
Star Trek: The Next Generation,1987,7+,8.6,89%,True,True,True,False,True,English
Broadchurch,2013,18+,8.4,92%,True,False,False,False,True,English
Kingdom,2019,18+,8.4,96%,True,False,False,False,True,English
Altered Carbon,2018,18+,8.1,64%,True,False,False,False,True,English
The Sinner,2017,16+,8.0,95%,True,False,False,False,True,English
"Love, Death & Robots",2019,18+,8.5,78%,True,False,False,False,True,English
Marvel's Jessica Jones,2015,18+,8.0,83%,True,False,False,False,True,English
New Girl,2011,16+,7.7,94%,True,False,False,False,True,English
The Good Wife,2009,16+,8.3,94%,True,True,True,False,True,English
The Umbrella Academy,2019,16+,7.9,77%,True,False,False,False,True,English
Marvel's The Punisher,2017,18+,8.5,63%,True,False,False,False,True,English
Ash vs Evil Dead,2015,18+,8.4,99%,True,False,False,False,True,English
Master of None,2015,18+,8.3,100%,True,False,False,False,True,English
Bodyguard,2018,18+,8.1,93%,True,False,False,False,True,English
Schitt's Creek,2015,16+,8.4,50%,True,False,True,False,True,English
Narcos: Mexico,2018,18+,8.4,88%,True,False,False,False,True,English
The West Wing,1999,16+,8.8,75%,True,False,False,False,True,English
Bates Motel,2013,18+,8.2,93%,True,False,False,False,True,English
