Title,Year,Age,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,type,Decade,Actors,Producers,Genres,Language
Breaking Bad,2008,18+,9.5,96%,True,False,False,False,True,2000,"['Bryan Cranston', 'Aaron Paul', 'Anna Gunn', 'RJ Mitte', 'Dean Norris', 'Betsy Brandt', 'Bob Odenkirk', 'Jonathan Banks', 'Giancarlo Esposito', 'Jesse Plemons', 'Laura Fraser']","['Thomas Schnauz', 'Michelle MacLaren', 'Michelle MacLaren', 'Vince Gilligan', 'Mark Johnson', 'George Mastras', 'Peter Gould', 'Sam Catlin', 'Moira Walley-Beckett', 'Melissa Bernstein']","['Drama', 'Crime', 'Thriller']",English
Stranger Things,2016,16+,8.8,93%,True,False,False,False,True,2010,"['Finn Wolfhard', 'David Harbour', 'Winona Ryder', 'Caleb McLaughlin', 'Charlie Heaton', 'Gaten Matarazzo', 'Natalia Dyer', 'Millie Bobby Brown', 'Joe Keery', 'Noah Schnapp', 'Cara Buono', 'Sadie Sink', 'Dacre Montgomery', 'Priah Ferguson', 'Matthew Modine', 'Paul Reiser', 'Maya Thurman-Hawke', 'Sean Astin']","['Jessica Mecklenburg', 'Shawn Levy', 'Karl Gajdusek', 'Cindy Holland', 'Ross Duffer', 'Matt Duffer', 'Iain Paterson', 'Iain Paterson', 'Brian Wright', 'Matt Thunell', 'Dan Cohen']","['Drama', 'Fantasy', 'Science-Fiction']",English
Money Heist,2017,18+,8.4,91%,True,False,False,False,True,2010,[],[],[],[]
Sherlock,2010,16+,9.1,78%,True,False,False,False,True,2010,"['Benedict Cumberbatch', 'Martin Freeman']","['Mark Gatiss', 'Steven Moffat', 'Sue Vertue', 'Beryl Vertue']","['Drama', 'Crime', 'Mystery']",English
Better Call Saul,2015,18+,8.7,97%,True,False,False,False,True,2010,"['Bob Odenkirk', 'Jonathan Banks', 'Rhea Seehorn', 'Patrick Fabian', 'Michael Mando', 'Michael McKean', 'Giancarlo Esposito', 'Tony Dalton']","['Gennifer Hutchison', 'Thomas Schnauz', 'Vince Gilligan', 'Mark Johnson', 'Peter Gould', 'Diane Mercer', 'Alison Tatlock', 'Gordon Smith', 'Melissa Bernstein', 'Nina Jack']","['Drama', 'Crime', 'Legal']",English
The Office,2005,16+,8.9,81%,True,False,False,False,True,2000,"['Rainn Wilson', 'John Krasinski', 'Leslie David Baker', 'Phyllis Smith', 'Jenna Fischer', 'Brian Baumgartner', 'Angela Kinsey', 'Oscar Nuñez', 'Kate Flannery', 'Creed Bratton', 'Ed Helms', 'Mindy Kaling', 'B.J. Novak', 'Steve Carell', 'Paul Lieberstein', 'Craig Robinson', 'Ellie Kemper', 'Zach Woods', 'Melora Hardin', 'Catherine Tate', 'David Denman', 'Clark Duke', 'Jake Lacy', 'James Spader', 'Amy Ryan']","['Michael Schur', 'Mindy Kaling', 'Mindy Kaling', 'Howard Klein', 'B.J. Novak', 'B.J. Novak', 'Stephen Merchant', 'Dan Sterling', 'Greg Daniels', 'Brent Forrester', 'Paul Lieberstein', 'Paul Lieberstein', 'Paul Feig', 'Ken Kwapis', 'Kent Zbornak', 'Allison Silverman', 'Ricky Gervais', 'Peter Ocko', 'Charlie Grandy', 'Jennifer Celotta', 'Jennifer Celotta', 'Daniel Chun', 'Gene Stupnitsky', 'Lee Eisenberg', 'Teri Weinberg', 'Ben Silverman', 'Gabe Miller', 'Jonathan Green', 'Halsted Sullivan', 'Warren Lieberstein', 'Justin Spitzer', 'David Rogers', 'Aaron Shure']",['Comedy'],English
Black Mirror,2011,18+,8.8,83%,True,False,False,False,True,2010,[],"['Annabel Jones', 'Charlie Brooker']","['Drama', 'Science-Fiction', 'Thriller']",English
Supernatural,2005,16+,8.4,93%,True,False,False,False,True,2000,"['Jared Padalecki', 'Jensen Ackles', 'Misha Collins', 'Mark Sheppard', 'Alexander Calvert', 'Mark Pellegrino', 'Katie Cassidy', 'Lauren Cohan', 'Mark Pellegrino', 'Alexander Calvert']","['John Showalter', 'Richard Hatem', 'Eric Kripke', 'Jeremy Carver', 'Adam Glass', 'Adam Glass', 'John Shiban', 'John Shiban', 'Philip Sgriccia', 'Philip Sgriccia', 'Ben Edlund', 'Ben Edlund', 'Sera Gamble', 'Kim Manners', 'Kim Manners', 'Robert Singer', 'Andrew Dabb', 'Andrew Dabb', 'Nicole Snyder', 'Eric Charmelo', 'Jim Michaels', 'Peter Johnson', 'Robbie Thompson', 'Brad Buckner', 'Brad Buckner', 'Eugenie Ross-Leming', 'Eugenie Ross-Leming', 'McG', 'Robert Berens', 'Robert Berens', 'Steve Yockey', 'Meredith Glynn']","['Drama', 'Action', 'Supernatural']",English
Peaky Blinders,2013,18+,8.8,92%,True,False,False,False,True,2010,"['Cillian Murphy', 'Sophie Rundle', 'Helen McCrory', 'Paul Anderson', 'Ned Dennehy', 'Finn Cole', 'Ian Peck', ""Natasha O'Keeffe"", 'Joe Cole', 'Packy Lee', 'Annabelle Wallis', 'Aimee-Ffion Edwards', 'Kate Phillips', 'Sam Neill', 'Tom Hardy', 'Benjamin Zephaniah', 'Aidan Gillen', 'Charlie Murphy', 'Neil Maskell', 'Noah Taylor', 'Charlotte Riley', 'Gaite Jansen', 'Alexander Siddig', 'Adrien Brody', 'Anya Taylor-Joy', 'Sam Claflin', 'Jack Rowan', 'Kingsley Ben-Adir', 'Brian Gleeson', 'Jan Bijvoet', 'Dina Korzun', 'Paddy Considine', 'Andrew Koji', 'Cosmo Jarvis', 'Kate Dickie']",[],"['Drama', 'Crime', 'History']",English
Avatar: The Last Airbender,2005,7+,9.2,100%,True,False,False,False,True,2000,"['Zach Tyler', 'Mae Whitman', 'Jack De Sena', 'Dante Basco', 'Dee Bradley Baker', 'Dee Bradley Baker', 'Greg Baldwin', 'Mako', 'Jessie Flower', 'Grey Griffin', 'Cricket Leigh', 'Olivia Hack']","['Bryan Konietzko', 'Michael Dante DiMartino', 'Aaron Ehasz']","['Action', 'Adventure', 'Fantasy']",English
